expert,label_studio_filename,simplified_text,human_score,is_iaa,actual_image_filename,style
Expert_A,0005.png,"In 1810, the County Seat was later moved to the City of Daphne in 1868.",2,False,0005_asset_asset_137_realistic.png,realistic
Expert_A,0008_IAA.png,"One of the boyfriends wrote to me and said, Listen, shes not mad but Cynthia found out.",2,True,0008_onestopenglish_onestop_092_storybook.png,storybook
Expert_A,0009_IAA.png,Many people called The 2002 Commonwealth Games a huge success with the stadium gaining positive reviews for its atmosphere and architectural design.,2,True,0009_wikipedia_wikipedia_107_artistic.png,artistic
Expert_A,0010_IAA.png,"P re David 's Deer (Elaphurus davidianus,)Milu in Chinese (), is a species of deer known only in zoos.",9,True,0010_wikipedia_wikipedia_099_3d rendered.png,3d rendered
Expert_A,0013.png,Two eclipses by Psyche were seen in march and may of 2002.,0,False,0013_asset_asset_400_technical.png,technical
Expert_A,0024.png,"I will never forget the wonderful memories he has given us, like that magical night in Moscow.",12,False,0024_onestopenglish_onestop_340_artistic.png,artistic
Expert_A,0025.png,"The museum, Pearson Field, and Fort Vancouver National Historic Site, are part of the Vancouver National Historic Reserve.",2,False,0025_asset_asset_207_realistic.png,realistic
Expert_A,0027_IAA.png,"In March 2001, the World Wrestling Federation bought World Championship Wrestling.",0,True,0027_asset_asset_271_minimalistic.png,minimalistic
Expert_A,0028_IAA.png,Phoenix is a robotic spacecraft on a space exploration mission on Mars under the Mars Scout Program.,17,True,0028_wikipedia_wikipedia_322_3d rendered.png,3d rendered
Expert_A,0031.png,What is it like to look at the last of something?,0,False,0031_onestopenglish_onestop_227_cartoon.png,cartoon
Expert_A,0032_IAA.png,"Cytomegalovirus (from the Greek cyto -, cell '', and - megalo -, large '')is a viral genus of the Herpesviruses group in humans it is commonly known as HCMV or Human Herpesvirus 5 (HHV-5).",0,True,0032_wikipedia_wikipedia_222_digital art.png,digital art
Expert_A,0035_IAA.png,0 1970 (MCMLXX)was a common year starting on Thursday.,0,True,0035_wikipedia_wikipedia_314_retro.png,retro
Expert_A,0037.png,"Boehner talked about the need for both parties to find common ground and take steps together to help our economy grow and create jobs, which is critical to solving our debt.",1,False,0037_onestopenglish_onestop_107_artistic.png,artistic
Expert_A,0040.png,Saint-Julien-sur-Calonne is a commune. It is found in the region Basse-Normandie in the Calvados department in the northwest of France.,0,False,0040_wikipedia_wikipedia_279_3d rendered.png,3d rendered
Expert_A,0042_IAA.png,The Japanese Clouded Salamander is a kind of salamander in the Hynobiidae family.,12,True,0042_asset_asset_172_realistic.png,realistic
Expert_A,0045.png,A classic example of this is the replacement of the non-avian dinosaurs at the end of the Cretaceous with mammals in the Palaeocene.,0,False,0045_wikipedia_wikipedia_413_3d rendered.png,3d rendered
