annotation_id,expert,label_studio_filename,actual_image_filename,image_path,dataset,dataset_id,style,lookup_key,simplified_text,human_score,is_iaa,clip_score,human_z,clip_z,human_expert_z,human_minmax,clip_minmax
0,Expert_A,0005.png,0005_asset_asset_137_realistic.png,C:\Users\SouayedBelkiss\OneDrive - gae\Desktop\Thesis\phase3_label_studio\2000_set_shuffled\0005_asset_asset_137_realistic.png,asset,137,realistic,asset_137,"In 1810, the County Seat was later moved to the City of Daphne in 1868.",2,False,0.2230983972549438,-0.8972471590027159,0.2207648641333758,-0.2618286373938041,0.11764705882352941,0.5197998159199992
1,Expert_A,0008_IAA.png,0008_onestopenglish_onestop_092_storybook.png,C:\Users\SouayedBelkiss\OneDrive - gae\Desktop\Thesis\phase3_label_studio\2000_set_shuffled\0008_onestopenglish_onestop_092_storybook.png,onestop,92,storybook,onestop_092,"One of the boyfriends wrote to me and said, Listen, shes not mad but Cynthia found out.",2,True,0.1752212792634964,-0.8972471590027159,-0.8976198100204069,-0.2618286373938041,0.11764705882352941,0.3321109428994495
2,Expert_A,0009_IAA.png,0009_wikipedia_wikipedia_107_artistic.png,C:\Users\SouayedBelkiss\OneDrive - gae\Desktop\Thesis\phase3_label_studio\2000_set_shuffled\0009_wikipedia_wikipedia_107_artistic.png,wikipedia,107,artistic,wikipedia_107,Many people called The 2002 Commonwealth Games a huge success with the stadium gaining positive reviews for its atmosphere and architectural design.,2,True,0.2275018393993377,-0.8972471590027159,0.32362699147973717,-0.2618286373938041,0.11764705882352941,0.5370622813349001
3,Expert_A,0010_IAA.png,0010_wikipedia_wikipedia_099_3d rendered.png,C:\Users\SouayedBelkiss\OneDrive - gae\Desktop\Thesis\phase3_label_studio\2000_set_shuffled\0010_wikipedia_wikipedia_099_3d rendered.png,wikipedia,99,3d rendered,wikipedia_099,"P re David 's Deer (Elaphurus davidianus,)Milu in Chinese (), is a species of deer known only in zoos.",9,True,0.1813705712556839,0.9019875314306728,-0.7539755346446917,1.5350345604068123,0.5294117647058824,0.3562175251731389
4,Expert_A,0013.png,0013_asset_asset_400_technical.png,C:\Users\SouayedBelkiss\OneDrive - gae\Desktop\Thesis\phase3_label_studio\2000_set_shuffled\0013_asset_asset_400_technical.png,asset,400,technical,asset_400,Two eclipses by Psyche were seen in march and may of 2002.,0,False,0.2481135874986648,-1.4113142134122556,0.8051067494284859,-0.7752181224796945,0.0,0.6178648846252075
5,Expert_A,0024.png,0024_onestopenglish_onestop_340_artistic.png,C:\Users\SouayedBelkiss\OneDrive - gae\Desktop\Thesis\phase3_label_studio\2000_set_shuffled\0024_onestopenglish_onestop_340_artistic.png,onestop,340,artistic,onestop_340,"I will never forget the wonderful memories he has given us, like that magical night in Moscow.",12,False,0.2013680338859558,1.6730881130449824,-0.2868451670303695,2.3051187880356476,0.7058823529411765,0.43461199380044374
6,Expert_A,0025.png,0025_asset_asset_207_realistic.png,C:\Users\SouayedBelkiss\OneDrive - gae\Desktop\Thesis\phase3_label_studio\2000_set_shuffled\0025_asset_asset_207_realistic.png,asset,207,realistic,asset_207,"The museum, Pearson Field, and Fort Vancouver National Historic Site, are part of the Vancouver National Historic Reserve.",2,False,0.2773015797138214,-0.8972471590027159,1.4869231271098322,-0.2618286373938041,0.11764705882352941,0.7322882583456963
7,Expert_A,0027_IAA.png,0027_asset_asset_271_minimalistic.png,C:\Users\SouayedBelkiss\OneDrive - gae\Desktop\Thesis\phase3_label_studio\2000_set_shuffled\0027_asset_asset_271_minimalistic.png,asset,271,minimalistic,asset_271,"In March 2001, the World Wrestling Federation bought World Championship Wrestling.",0,True,0.2583988308906555,-1.4113142134122556,1.0453647069270704,-0.7752181224796945,0.0,0.6581853095373678
8,Expert_A,0028_IAA.png,0028_wikipedia_wikipedia_322_3d rendered.png,C:\Users\SouayedBelkiss\OneDrive - gae\Desktop\Thesis\phase3_label_studio\2000_set_shuffled\0028_wikipedia_wikipedia_322_3d rendered.png,wikipedia,322,3d rendered,wikipedia_322,Phoenix is a robotic spacecraft on a space exploration mission on Mars under the Mars Scout Program.,17,True,0.2073184996843338,2.9582557490688317,-0.14784536854268673,3.5885925007503734,1.0,0.4579391334967889
9,Expert_A,0031.png,0031_onestopenglish_onestop_227_cartoon.png,C:\Users\SouayedBelkiss\OneDrive - gae\Desktop\Thesis\phase3_label_studio\2000_set_shuffled\0031_onestopenglish_onestop_227_cartoon.png,onestop,227,cartoon,onestop_227,What is it like to look at the last of something?,0,False,0.1991507411003112,-1.4113142134122556,-0.3386399778629611,-0.7752181224796945,0.0,0.4259197165382958
10,Expert_A,0032_IAA.png,0032_wikipedia_wikipedia_222_digital art.png,C:\Users\SouayedBelkiss\OneDrive - gae\Desktop\Thesis\phase3_label_studio\2000_set_shuffled\0032_wikipedia_wikipedia_222_digital art.png,wikipedia,222,digital art,wikipedia_222,"Cytomegalovirus (from the Greek cyto -, cell '', and - megalo -, large '')is a viral genus of the Herpesviruses group in humans it is commonly known as HCMV or Human Herpesvirus 5 (HHV-5).",0,True,0.2155458331108093,-1.4113142134122556,0.04434087823530474,-0.7752181224796945,0.0,0.4901920969908599
11,Expert_A,0035_IAA.png,0035_wikipedia_wikipedia_314_retro.png,C:\Users\SouayedBelkiss\OneDrive - gae\Desktop\Thesis\phase3_label_studio\2000_set_shuffled\0035_wikipedia_wikipedia_314_retro.png,wikipedia,314,retro,wikipedia_314,0 1970 (MCMLXX)was a common year starting on Thursday.,0,True,0.2366432398557663,-1.4113142134122556,0.5371653705567407,-0.7752181224796945,0.0,0.5728985893976184
12,Expert_A,0037.png,0037_onestopenglish_onestop_107_artistic.png,C:\Users\SouayedBelkiss\OneDrive - gae\Desktop\Thesis\phase3_label_studio\2000_set_shuffled\0037_onestopenglish_onestop_107_artistic.png,onestop,107,artistic,onestop_107,"Boehner talked about the need for both parties to find common ground and take steps together to help our economy grow and create jobs, which is critical to solving our debt.",1,False,0.1309807002544403,-1.1542806862074857,-1.9310568174078704,-0.5185233799367492,0.058823529411764705,0.1586781055789234
13,Expert_A,0040.png,0040_wikipedia_wikipedia_279_3d rendered.png,C:\Users\SouayedBelkiss\OneDrive - gae\Desktop\Thesis\phase3_label_studio\2000_set_shuffled\0040_wikipedia_wikipedia_279_3d rendered.png,wikipedia,279,3d rendered,wikipedia_279,Saint-Julien-sur-Calonne is a commune. It is found in the region Basse-Normandie in the Calvados department in the northwest of France.,0,False,0.1729888319969177,-1.4113142134122556,-0.9497686216770346,-0.7752181224796945,0.0,0.3233592567261754
14,Expert_A,0042_IAA.png,0042_asset_asset_172_realistic.png,C:\Users\SouayedBelkiss\OneDrive - gae\Desktop\Thesis\phase3_label_studio\2000_set_shuffled\0042_asset_asset_172_realistic.png,asset,172,realistic,asset_172,The Japanese Clouded Salamander is a kind of salamander in the Hynobiidae family.,12,True,0.2831198871135711,1.6730881130449824,1.6228357738685202,2.3051187880356476,0.7058823529411765,0.7550973079409794
